LosAngeles,Sacramento,SanDiego,SanFrancisco,Month,Year
548543,237023,489714,1035640,01,2015
554025,238795,490314,1047165,02,2015
558577,242174,495410,1061415,03,2015
559403,244390,499175,1078359,04,2015
562234,245995,502914,1083582,05,2015
565060,247192,502721,1097192,06,2015
565063,247269,501262,1112410,07,2015
565397,247575,501639,1128139,08,2015
566346,248736,503942,1146687,09,2015
572241,251794,508905,1164401,10,2015
577003,254830,512746,1177018,11,2015
583818,258557,518061,1190533,12,2015
588292,261759,526391,1208312,01,2016
593076,263907,529817,1216187,02,2016
595442,266099,528902,1212924,03,2016
600965,269398,528334,1200484,04,2016
605138,271584,529935,1200225,05,2016
610158,273667,533486,1195700,06,2016
609454,275083,531500,1181333,07,2016
610880,276963,533729,1166060,08,2016
613624,279411,536668,1163422,09,2016
620730,282036,543392,1171820,10,2016
625055,284788,546920,1187818,11,2016
628096,286167,550034,1192532,12,2016
632515,288856,550490,1193469,01,2017
636256,291844,554053,1186044,02,2017
639370,295171,558542,1183655,03,2017
641066,296909,564453,1191950,04,2017
644986,298487,570251,1206362,05,2017
649296,301662,574563,1222621,06,2017
650583,304455,575975,1231642,07,2017
652603,305973,577031,1243708,08,2017
655222,306922,579773,1254830,09,2017
661344,309012,586066,1266757,10,2017
668740,311402,590227,1277255,11,2017
674927,314776,594761,1283816,12,2017
681168,317731,601663,1291994,01,2018
688102,321152,608971,1302395,02,2018
695080,323096,613797,1323599,03,2018